Date,Kasus Aktif,Kasus Sembuh,Kasus Meninggal,Peluang Meninggal,Peluang Sembuh
2020-03-31,644,74,162,0.0787,0.2221999999999999
2020-04-30,6437,1430,584,0.0902999999999999,0.1894
2020-05-31,9695,5695,819,0.0469,0.2581
2020-06-30,10822,17653,1304,0.04085,0.479
2020-07-31,9067,40990,2231,0.035,0.6389499999999999
2020-08-31,3997,60080,2283,0.0308,0.6779
2020-09-30,19790,89131,3334,0.0287,0.7195999999999999
2020-10-31,-2997,122968,3161,0.0265,0.767
2020-11-30,15171,110589,3089,0.0258,0.8109
2020-12-31,49486,150124,4715,0.0241,0.7969999999999999
